;Millioner tonn CO₂-ekvivalenter2;Endring i prosent;
;2024;1990 - 2024;2023 - 2024
Utslipp av klimagasser;44,6;-12,8;-4,1
Olje- og gassutvinning;11,0;33,6;-4,7
Industri og bergverk;10,6;-44,9;-2,6
Energiforsyning;1,1;233,1;-5,8
Oppvarming i andre næringer og husholdninger;0,5;-80,7;-16,4
Veitrafikk;7,5;1,3;-6,5
Luftfart, sjøfart, anleggsmaskiner m.m.;7,3;38,1;-4,4
Jordbruk;4,4;-10,3;0,3
Andre kilder;2,1;-30,7;-3,8
1Tall publisert i juni er foreløpige. Endelige tall publiseres i november.;;;
2Klimagassutslipp oppgitt i CO₂-ekvivalenter viser hvor stor oppvarmingseffekt en klimagass har, regnet om til mengde CO₂.;;;
