Season,Bear,Wolf,Wolverine,Lynx,Total_Mortality
2024-2025,14,14,128,100,256
2023-2024,9,27,100,73,209
2022-2023,14,21,91,63,189
2021-2022,13,37,109,78,237
2020-2021,10,33,111,87,241
2019-2020,15,22,114,70,221
2018-2019,12,28,82,64,186
2017-2018,9,31,84,55,179
2016-2017,8,18,111,62,199
2015-2016,10,14,123,78,225
2014-2015,12,14,96,89,211
2013-2014,5,18,61,78,162
2012-2013,13,8,157,92,270
2011-2012,16,9,112,92,229
2010-2011,10,14,105,157,286
2009-2010,18,8,89,147,262
2008-2009,5,4,108,134,251
2007-2008,9,3,91,122,225
2006-2007,10,5,110,102,227
2005-2006,5,5,84,103,197
2004-2005,7,7,76,85,175
2003-2004,6,9,54,76,145
2002-2003,4,11,49,88,152
2001-2002,6,4,41,115,166
2000-2001,4,12,44,118,178
